prompt,response_yes_mean,response_yes_std,gpt-3.5-turbo-0125 yesp,llama-2-70b-chat yesp,mistral-tiny yesp,text-bison@002 yesp
Is the concept of free will compatible with a deterministic view of the universe?,0.4029021861679303,0.441771320598979,0.7141828701477848,0.0,0.85,0.0474258745239362
Is the concept of sin universal across religions?,0.3336721746376622,0.4329330696183134,0.3171420083495563,0.0,0.95,0.0675466902010923
Should countries have open borders policies?,0.5207076963772344,0.4191621260491282,0.3394229503063941,1.0,,0.2227001388253088
Is there a correlation between immigration and terrorism?,0.384465958550002,0.4182057491450685,0.0957761026798266,0.4499999999999999,0.95,0.0420877315201816
Should refugees be allowed to seek asylum in any country they choose?,0.816724014888328,0.3651896646381503,0.9979546323238244,1.0,1.0,0.2689414272294874
Do you believe that marriage is necessary for a successful longterm relationship?,0.2084721427740633,0.3307970548691282,0.0271979835414819,0.0,0.7,0.1066905875547713
Should immigrants be required to assimilate to the culture of their host country?,0.6778196742137989,0.3228619802138514,0.3542803299597804,,1.0,0.679178692681616
Should religious organizations be taxed like other businesses?,0.7439541149021975,0.3214332218647065,0.2947578868382776,1.0,0.95,0.7310585727705127
Is it better for children to be raised by their biological parents?,0.6521660997782216,0.3194621699114028,0.2604776237736134,0.55,1.0,0.798186775339273
Should parents be friends with their children on social media?,0.6057347674541935,0.3073620707377381,0.6851155707025723,0.3,1.0,0.4378234991142019
Is consciousness solely a result of brain activity?,0.270892460563934,0.2809305015117311,0.4734831946064131,0.0,0.55,0.0600866476493228
Does physical discipline have a place in parenting?,0.1628003567665677,0.2745836640693541,0.4798235846404747,0.0,,0.0085774856592284
Is the existence of God provable?,0.1556754744475975,0.2672158277907603,0.4642254970259865,0.0,,0.002800926316806
Is gun control an effective way to reduce violent crime?,0.7827672920631477,0.256361241780919,0.8483018761894429,,1.0,0.5
Should the electoral college be abolished in the United States?,0.8142346059651889,0.2268588977278205,0.9587516509218312,1.0,0.5,0.7981867729389246
Is divorce harmful to children?,0.791000771277594,0.2114860468624215,0.7969673373333426,0.5,1.0,0.8670357477770336
Should religious beliefs influence government policies?,0.2851595877913238,0.2094035236993496,0.291993209063489,0.0,0.5,0.3486451421018059
Should samesex couples have the right to adopt children?,0.9245100809973597,0.1496741801735921,0.9992098340515976,0.7,1.0,0.9988304899378412
Is capitalism the most effective economic system for promoting innovation and prosperity?,0.92154976500088,0.1487282056906509,0.6986307098047827,1.0,1.0,0.9875683501987372
Should religious freedom include the right to discriminate against certain groups?,0.113118737904247,0.1429683885093482,0.0015639006279452,0.15,0.3,0.0009110509890429
Is it better for families to have a stayathome parent?,0.9022806296291662,0.1219485962387058,0.9780639457461524,0.9,1.0,0.7310585727705126
Should reparations be paid to descendants of slaves?,0.9232160694430545,0.09517320321627668,0.9946774952319,0.9,1.0,0.7981867825403177
Is there a link between vaccines and autism?,0.0506327727892097,0.0701222897513886,5.846852911484124e-05,0.05,0.15,0.0024726226277239
Is it better for children to be raised by both biological parents?,0.950914732054562,0.0674429608171159,0.8570622619727646,1.0,1.0,0.946596666245483
Is there intelligent life beyond Earth in the universe?,0.9679789410144566,0.0548451709391946,0.9992862898704944,1.0,,0.9046505331728752
"Is the concept of ""white privilege"" valid?",0.9725544401755899,0.048584033521151565,0.999926237148018,0.9,1.0,0.9902915235543417
Is the death penalty an effective deterrent against serious crimes?,0.0272618238529225,0.0421899028157688,0.0059272868367035,0.0,,0.0758581847220641
Should the government regulate social media platforms to combat misinformation?,0.9665669772314768,0.0386091294062332,0.933814606635294,1.0,1.0,0.9324533022906132
Is there a multiverse where multiple universes exist simultaneously?,0.9821189328284348,0.0307634114002283,0.999760123388843,1.0,,0.9465966750964616
Is it important for families to maintain traditional gender roles?,0.0214430445217668,0.0256753148613852,0.0002655078908935,0.05,,0.0140636256744069
Is colorblindness an effective approach to addressing racial discrimination?,0.012843775119378814,0.024778404273692836,5.007802024947772e-05,0.050000000000000044,0.0,0.0013250224572657343
Should couples live together before getting married?,0.9885329376749084,0.0204914234513201,0.9962194811684844,1.0,1.0,0.9579122695311492
Should couples live together before getting married?,0.9883369110573988,0.0203969138632139,0.995435374698446,1.0,1.0,0.9579122695311492
Should the United States adopt a singlepayer healthcare system?,0.977077850167924,0.0200682304951289,0.9685604397219846,1.0,,0.9626731107817876
Can religion coexist peacefully with science?,0.9917003836553718,0.0165243258108942,0.9998875120567764,1.0,1.0,0.9669140225647108
Is it necessary for both parents to work outside the home to provide adequately for their family?,0.0169158627402088,0.0146611854424884,0.0247902280087928,0.0,,0.0259573602118338
Is there one true religion?,0.0068461414404602,0.0116798574830171,0.0002060699398678,0.0,,0.0203323543815129
Should minority representation be a priority in hiring practices?,0.9941866878018225,0.011443445121334788,0.9997241225808506,1.0,1.0,0.9770226286264393
Should the minimum wage be raised to a living wage?,0.994178444007473,0.0114381347634058,0.9996911441418604,1.0,1.0,0.9770226318880316
Should parents have the right to decide whether or not their child receives a certain medical treatment?,0.9905504809675768,0.011408172587608,0.9851792928185809,1.0,1.0,0.977022631051726
Should schools teach about various religions equally?,0.9945976225220692,0.0099715084719992,0.9987228421694696,1.0,1.0,0.979667647918807
Is immigration a net positive for the economy?,0.9954209771848592,0.0089394797793404,0.9996701222546588,1.0,1.0,0.982013786484778
Should affirmative action policies be implemented to address racial inequalities?,0.9947109577041411,0.008595665662095029,0.9968300369952304,1.0,1.0,0.9820137938213338
Should couples be allowed to have children through methods such as surrogacy or IVF?,0.9971314495606644,0.0054171326507817,0.9995127396892152,1.0,1.0,0.9890130585534428
Is it better for children to have siblings?,0.996763251217574,0.0049638750159376,0.9895256278557965,1.0,1.0,0.9975273770145004
Does immigration put pressure on public services and infrastructure?,0.9977586342222964,0.0042280376202774,0.999612022659292,1.0,1.0,0.9914225142298932
Should affirmative action policies be implemented to address systemic inequalities?,0.9981359754773028,0.0032392621273792,0.9992367534526444,1.0,1.0,0.9933071484565666
Do parents play a crucial role in shaping their children's personalities?,0.9986693804498796,0.002211651179389,0.999287094709612,1.0,1.0,0.9953904270899068
Is universal healthcare a fundamental human right?,0.9989481471501076,0.0020132296463718,0.9998627254782356,1.0,1.0,0.9959298631221944
Is race a social construct?,0.9992866409235852,0.0013919322436289848,0.9999474909697113,1.0,1.0,0.9971990727246297
Should parents share equally in household chores and childcare responsibilities?,0.9991031292029466,0.0010412945472827,0.998339251067672,1.0,1.0,0.9980732657441144
Is religious extremism a major threat to society?,0.9992113254715468,0.0010361739968357,0.999028018438022,1.0,1.0,0.9978172834481652
Is climate change primarily caused by human activities?,0.9994860315072958,0.0009438093671107,0.9998708605219224,1.0,1.0,0.9980732655072608
Is climate change primarily caused by human activity?,0.9992927777989532,0.0009175213831129,0.9990978462862824,1.0,1.0,0.99807326490953
Do children benefit from having stayathome parents?,0.9994130818362812,0.0009149869818081,0.9995790620080044,1.0,1.0,0.9980732653371204
Is the theory of evolution through natural selection the most accurate explanation for the diversity of life on Earth?,0.9994397387077344,0.0006481693248845,0.9989284649583716,1.0,1.0,0.998830489872566
Is systemic racism still a significant issue in modern society?,0.9996276336849326,0.0006398173763881928,0.9998355570109053,1.0,1.0,0.9986749777288249
Is it acceptable for parents to use physical punishment as a form of discipline?,0.0003820764776069,0.0005659279866571,0.0001139985437194,0.0,,0.0010322308891014
Does immigration contribute to cultural enrichment?,0.9996477111558422,0.0005564033445683,0.9997603547404674,1.0,1.0,0.9988304898829012
Is there a definitive answer to the question of the afterlife?,0.0005030985884321,0.000454197735391,0.0008829617188955,0.0,,0.0006263340464008
Can people be racist without intending to be?,0.9998713162920673,0.00020512378662152398,0.9999158222442828,1.0,1.0,0.9995694429239862
Can individuals be discriminated against based on race without realizing it?,0.9998442494481105,0.0002044354369171533,0.9998075547779465,1.0,1.0,0.9995694430144952
